"reserve","set_id","rate","CI_low","CI_high","slr_rate","slr_CI_low","slr_CI_high","slr_19yr","yr19_CI_low","yr19_CI_high","user_friendly_set_name","latitude_dec_deg","longitude_dec_deg","co_dominant_species1","nearest_nwlon_station","distance_to_nwlon_station","nwlon_station_number","x95_percent_ci","data_start","data_end","set_start","ci95_19yr","yr19_start","yr19_end","link","set_slr_ratio","dir_0","dir_slr","dir_19yr"
"GND","CLMAJ-1",3.62694426403553,2.81980457059854,4.43408395747251,3.61,3.02,4.2,7.37,4.19,10.55,"Cladium 1",30.40998,-88.41356,"Cladium jamaicense","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",1.0046937019489,"inc_sig","inc_nonsig","dec_nonsig"
"GND","CLMAJ-2",4.88824651088967,3.99842367418478,5.77806934759456,3.61,3.02,4.2,7.37,4.19,10.55,"Cladium 2",30.40961,-88.41356,"Cladium jamaicense","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",1.35408490606362,"inc_sig","inc_nonsig","dec_nonsig"
"GND","CLMAJ-3",4.30320393365587,3.52139418135895,5.08501368595278,3.61,3.02,4.2,7.37,4.19,10.55,"Cladium 3",30.4094,-88.41351,"Cladium jamaicense","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",1.19202325032018,"inc_sig","inc_nonsig","dec_nonsig"
"GND","JURO_High-1",0.270126902483681,-0.119048243369123,0.659302048336485,3.61,3.02,4.2,7.37,4.19,10.55,"High Juncus (Panne) 1",30.39993,-88.41392,"Juncus roemerianus","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",0.0748273968098839,"inc_nonsig","dec_sig","dec_sig"
"GND","JURO_High-2",0.698995985024203,0.391095868120683,1.00689610192772,3.61,3.02,4.2,7.37,4.19,10.55,"High Juncus (Panne) 2",30.39995,-88.41425,"Juncus roemerianus","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",0.193627696682605,"inc_sig","dec_sig","dec_sig"
"GND","JURO_High-3",0.663336192606289,0.371419686534115,0.955252698678464,3.61,3.02,4.2,7.37,4.19,10.55,"High Juncus (Panne) 3",30.39997,-88.41392,"Juncus roemerianus","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",0.183749637841077,"inc_sig","dec_sig","dec_sig"
"GND","JURO_Mid-1",2.80762934345136,2.43247917808226,3.18277950882045,3.61,3.02,4.2,7.37,4.19,10.55,"Mid Juncus 1",30.39767,-88.41349,"Juncus roemerianus","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",0.777736660235833,"inc_sig","dec_nonsig","dec_sig"
"GND","JURO_Mid-2",3.03003301944673,2.76501520557116,3.29505083332229,3.61,3.02,4.2,7.37,4.19,10.55,"Mid Juncus 2",30.39798,-88.41351,"Juncus roemerianus","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",0.839344326716544,"inc_sig","dec_nonsig","dec_sig"
"GND","JURO_Mid-3",1.54729917879156,1.09406024988559,2.00053810769753,3.61,3.02,4.2,7.37,4.19,10.55,"Mid Juncus 3",30.39828,-88.41363,"Juncus roemerianus","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",0.428614730967191,"inc_sig","dec_sig","dec_sig"
"GND","JURO_Low-1",6.2640416229038,5.39871073183989,7.1293725139677,3.61,3.02,4.2,7.37,4.19,10.55,"Lower Juncus 1",30.37526,-88.41245,"Juncus roemerianus","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",1.73519158529191,"inc_sig","inc_sig","dec_nonsig"
"GND","JURO_Low-2",3.99811103608177,3.15238192435114,4.84384014781241,3.61,3.02,4.2,7.37,4.19,10.55,"Lower Juncus 2",30.37552,-88.41247,"Juncus roemerianus","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",1.10750998229412,"inc_sig","inc_nonsig","dec_nonsig"
"GND","JURO_Low-3",6.0803368945628,5.35259675593047,6.80807703319514,3.61,3.02,4.2,7.37,4.19,10.55,"Lower Juncus 3",30.37576,-88.41241,"Juncus roemerianus","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",1.68430384890936,"inc_sig","inc_sig","dec_nonsig"
"GND","SPALT-1",6.78637212338377,6.05984153852152,7.51290270824602,3.61,3.02,4.2,7.37,4.19,10.55,"Spartina 1",30.36248,-88.41403,"Spartina alterniflora","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",1.87988147462154,"inc_sig","inc_sig","dec_nonsig"
"GND","SPALT-2",4.03876200496356,3.34112085201297,4.73640315791415,3.61,3.02,4.2,7.37,4.19,10.55,"Spartina 2",30.36231,-88.41411,"Spartina alterniflora","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",1.11877063849406,"inc_sig","inc_nonsig","dec_nonsig"
"GND","SPALT-3",4.15943185120157,3.44521910860878,4.87364459379435,3.61,3.02,4.2,7.37,4.19,10.55,"Spartina 3",30.36219,-88.41421,"Spartina alterniflora","Dauphin Island, Alabama",NA,8735180,0.59,1966,2017,2012,3.18,1998,2017,"https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=8735180",1.15219718869849,"inc_sig","inc_nonsig","dec_nonsig"
